nreg_m4096_n1021_k4096_s95_d16	4096	1021	4096	95	16
nreg_m4096_n1024_k4096_s95_d16	4096	1024	4096	95	16
nreg_m4096_n1025_k4096_s95_d16	4096	1025	4096	95	16
nreg_m4096_n2047_k4096_s95_d16	4096	2047	4096	95	16
nreg_m4096_n2048_k4096_s95_d16	4096	2048	4096	95	16
nreg_m4096_n2049_k4096_s95_d16	4096	2049	4096	95	16
nreg_m4096_n3071_k4096_s95_d16	4096	3071	4096	95	16
nreg_m4096_n3072_k4096_s95_d16	4096	3072	4096	95	16
nreg_m4096_n3073_k4096_s95_d16	4096	3073	4096	95	16
nreg_m4096_n3840_k4096_s95_d16	4096	3840	4096	95	16
nreg_m4096_n3968_k4096_s95_d16	4096	3968	4096	95	16
nreg_m4096_n3997_k4096_s95_d16	4096	3997	4096	95	16
nreg_m4096_n4000_k4096_s95_d16	4096	4000	4096	95	16
nreg_m4096_n4080_k4096_s95_d16	4096	4080	4096	95	16
nreg_m4096_n4081_k4096_s95_d16	4096	4081	4096	95	16
nreg_m4096_n4088_k4096_s95_d16	4096	4088	4096	95	16
nreg_m4096_n4093_k4096_s95_d16	4096	4093	4096	95	16
nreg_m4096_n4095_k4096_s95_d16	4096	4095	4096	95	16
nreg_m4096_n4096_k4096_s95_d16	4096	4096	4096	95	16
nreg_m4096_n4097_k4096_s95_d16	4096	4097	4096	95	16
nreg_m4096_n4103_k4096_s95_d16	4096	4103	4096	95	16
nreg_m4096_n4111_k4096_s95_d16	4096	4111	4096	95	16
nreg_m4096_n4112_k4096_s95_d16	4096	4112	4096	95	16
nreg_m4096_n4224_k4096_s95_d16	4096	4224	4096	95	16
nreg_m4096_n4608_k4096_s95_d16	4096	4608	4096	95	16
nreg_m4096_n5119_k4096_s95_d16	4096	5119	4096	95	16
nreg_m4096_n5120_k4096_s95_d16	4096	5120	4096	95	16
