case_name	M	N	K	sparsity	avg_ms	effective_tflops	dense_equiv_tflops	max_vectors_per_row	AIC_N_BATCH	SPARSE_K_TILE
nreg_m4096_n1021_k4096_s95_d16	4096	1021	4096	95	0.289003	5.927024	118.542282	246	8	256
nreg_m4096_n1024_k4096_s95_d16	4096	1024	4096	95	0.286985	5.986239	119.726600	241	8	256
nreg_m4096_n1025_k4096_s95_d16	4096	1025	4096	95	0.310435	5.539448	110.790642	253	8	256
nreg_m4096_n2047_k4096_s95_d16	4096	2047	4096	95	0.436095	7.874990	157.502201	243	8	256
nreg_m4096_n2048_k4096_s95_d16	4096	2048	4096	95	0.421550	8.150685	163.016194	242	8	256
nreg_m4096_n2049_k4096_s95_d16	4096	2049	4096	95	0.456546	7.529579	150.593875	234	8	256
nreg_m4096_n3071_k4096_s95_d16	4096	3071	4096	95	0.591970	8.703489	174.072437	244	8	256
nreg_m4096_n3072_k4096_s95_d16	4096	3072	4096	95	0.595135	8.660022	173.203080	244	8	256
nreg_m4096_n3073_k4096_s95_d16	4096	3073	4096	95	0.625117	8.247352	164.949553	250	8	256
nreg_m4096_n3840_k4096_s95_d16	4096	3840	4096	95	0.712906	9.036749	180.737739	242	8	256
nreg_m4096_n3968_k4096_s95_d16	4096	3968	4096	95	0.740199	8.993659	179.875934	255	8	256
nreg_m4096_n3997_k4096_s95_d16	4096	3997	4096	95	0.752531	8.910930	178.221315	253	8	256
nreg_m4096_n4000_k4096_s95_d16	4096	4000	4096	95	0.752751	8.915012	178.302955	236	8	256
nreg_m4096_n4080_k4096_s95_d16	4096	4080	4096	95	0.758043	9.029830	180.599363	241	8	256
nreg_m4096_n4081_k4096_s95_d16	4096	4081	4096	95	0.754495	9.074517	181.493101	245	8	256
nreg_m4096_n4088_k4096_s95_d16	4096	4088	4096	95	0.752133	9.118628	182.375349	255	8	256
nreg_m4096_n4093_k4096_s95_d16	4096	4093	4096	95	0.751746	9.134481	182.692412	246	8	256
nreg_m4096_n4095_k4096_s95_d16	4096	4095	4096	95	0.762120	9.014545	180.293653	256	8	256
nreg_m4096_n4096_k4096_s95_d16	4096	4096	4096	95	0.758045	9.065218	181.307117	241	8	256
nreg_m4096_n4097_k4096_s95_d16	4096	4097	4096	95	0.779583	8.816919	176.341080	241	8	256
nreg_m4096_n4103_k4096_s95_d16	4096	4103	4096	95	0.786293	8.754480	175.092280	247	8	256
nreg_m4096_n4111_k4096_s95_d16	4096	4111	4096	95	0.786484	8.769420	175.391070	244	8	256
nreg_m4096_n4112_k4096_s95_d16	4096	4112	4096	95	0.780476	8.839075	176.784199	244	8	256
nreg_m4096_n4224_k4096_s95_d16	4096	4224	4096	95	0.779912	9.086394	181.730658	247	8	256
nreg_m4096_n4608_k4096_s95_d16	4096	4608	4096	95	0.832907	9.281736	185.637559	244	8	256
nreg_m4096_n5119_k4096_s95_d16	4096	5119	4096	95	0.917975	9.355512	187.113088	240	8	256
nreg_m4096_n5120_k4096_s95_d16	4096	5120	4096	95	0.918695	9.350006	187.002968	238	8	256
